bin_lo,freq_lo_mhz,mean,std,max,median,top3(bin:val)
179306496,2219.824219,9.26618e+10,5.78297e+10,5.78118e+13,9.56265e+10,4718592:5.781e+13;6815744:5.741e+13;22544384:5.716e+13
180355072,2216.894531,8.65412e+10,5.74754e+10,5.73103e+13,8.92444e+10,17301504:5.731e+13;4718592:5.73e+13;24641536:5.721e+13
181403648,2213.964844,8.12888e+10,1.631e+11,1.67557e+14,8.372e+10,22544384:1.676e+14;11010048:1.674e+14;33030144:1.671e+14
182452224,2211.035156,7.92515e+10,5.71095e+10,5.70581e+13,8.1736e+10,21495808:5.706e+13;20447232:5.699e+13;22544384:5.694e+13
183500800,2208.105469,7.97939e+10,5.69728e+10,5.71891e+13,8.23232e+10,20447232:5.719e+13;19398656:5.695e+13;4718592:5.695e+13
184549376,2205.175781,8.05552e+10,5.70061e+10,5.69765e+13,8.31349e+10,23592960:5.698e+13;29884416:5.696e+13;13107200:5.69e+13
185597952,2202.246094,7.92583e+10,5.69695e+10,5.70836e+13,8.17422e+10,8912896:5.708e+13;7864320:5.695e+13;11010048:5.693e+13
186646528,2199.316406,2.16147e+11,1.77584e+12,7.28339e+14,9.22372e+10,26977349:7.283e+14;32225217:7.101e+14;33273793:6.777e+14
187695104,2196.386719,1.24062e+11,1.25317e+12,5.48188e+14,7.79785e+10,33517913:5.482e+14;33521738:5.439e+14;32471619:5.017e+14
188743680,2193.457031,7.32555e+10,2.08405e+11,1.04535e+14,7.09062e+10,33521738:1.045e+14;32471619:8.975e+13;33520195:8.886e+13
189792256,2190.527344,7.35317e+10,5.30402e+11,4.08298e+14,7.12345e+10,4941938:4.083e+14;747635:4.075e+14;5990514:3.915e+14
190840832,2187.597656,9.78101e+10,1.27617e+12,5.98724e+14,7.41182e+10,673873:5.987e+14;674231:5.903e+14;5777166:5.428e+14
191889408,2184.667969,7.12589e+10,5.65632e+10,5.70771e+13,7.35192e+10,21495808:5.708e+13;26738688:5.688e+13;15204352:5.685e+13
